SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,Lon_Lat
240096158,02/04/2022,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BRONX,40,1010256,233464,40.807444,-73.906058,POINT (-73.906058 40.807444)
245889735,06/01/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),18-24,M,BLACK HISPANIC,0,BRONX,52,1012304,254125,40.86414446,-73.89857484,POINT (-73.89857484 40.86414446)
283700040,03/13/2024,RECKLESS DRIVING,1212,VTL,VTL,25-44,M,BLACK HISPANIC,0,BRONX,48,1015886,246320,40.8427099658,-73.88566149441,POINT (-73.88566149440592 40.84270996579603)
256537324,12/18/2022,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,BLACK,2,MANHATTAN,25,1002441,231360,40.801687,-73.934295,POINT (-73.934295 40.801687)
287682474,05/30/2024,SMOKING IN TRAIN STATION,1050.7,(null),(null),25-44,M,BLACK,1,BRONX,41,1013846,239527,40.82408143,-73.89306565,POINT (-73.89306565 40.82408143)
249889498,08/21/2022,POSS. OF KNIFE,10-133,Administrative Code,KNIFE,18-24,M,BLACK HISPANIC,0,BROOKLYN,90,1001985,199076,40.713078,-73.936025,POINT (-73.936025 40.713078)
268543167,05/19/2023,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),18-24,M,WHITE HISPANIC,0,QUEENS,110,1024483,212396,40.74956294,-73.85479359,POINT (-73.85479359 40.74956294)
268688057,05/23/2023,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BROOKLYN,88,989639,193031,40.69650059,-73.98056585,POINT (-73.98056585 40.69650059)
265804996,03/28/2023,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),(null),(null),25-44,M,BLACK,0,BRONX,41,1012978,236701,40.81631852,-73.89621273,POINT (-73.89621273 40.81631852)
290120264,07/15/2024,UNREASONABLE NOISE; FROM CAR MUFFLER/EXHAUST (HEARD FROM 150 FT AWAY),24-236(A),(null),(null),18-24,M,BLACK,0,BROOKLYN,73,1010985,178704,40.65713749679,-73.90364343608,POINT (-73.90364343608351 40.65713749678832)
241558375,03/03/2022,EVICTION; UNLAWFUL (REMOVE PROPERTY/REMOVE DOOR/CHANGE OR DAMAGE LOCKS),26-521(3),(null),(null),25-44,M,WHITE HISPANIC,0,BRONX,47,1024586,259613,40.87916,-73.854138,POINT (-73.854138 40.87916)
268041811,05/10/2023,TRESPASS,140.05,Penal Law,TRESPASS,18-24,M,BLACK,0,QUEENS,103,1039793,195660,40.703546,-73.799675,POINT (-73.799675 40.703546)
289989202,07/12/2024,RECKLESS DRIVING,1212,VTL,VTL,18-24,M,BLACK HISPANIC,0,BRONX,44,1008878,244480,40.837683,-73.910994,POINT (-73.910994 40.837683)
275828902,10/12/2023,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BRONX,41,1014198,236718,40.81636113114,-73.89180510387,POINT (-73.89180510386842 40.81636113114032)
287652317,05/28/2024,CONSUMPTION OF ALCOHOL IN VEHICLE,1227,VTL,VTL,25-44,M,BLACK,0,BROOKLYN,69,1012401,175221,40.64757303848,-73.89855452233,POINT (-73.89855452232818 40.647573038482406)
249678010,08/17/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,WHITE HISPANIC,0,QUEENS,110,1019827,212158,40.748931,-73.871599,POINT (-73.871599 40.748931)
293833215,04/16/2024,NON PAYMENT OF FARE (OTHER),1050.4(A),(null),(null),45-64,M,WHITE,1,BRONX,45,1031799,249899,40.85247046,-73.8281224,POINT (-73.8281224 40.85247046)
272354901,08/03/2023,ACCEPT ON HAIL,19-507,Administrative Code,TLC,45-64,M,BLACK,0,QUEENS,103,1039793,195660,40.703546,-73.799675,POINT (-73.799675 40.703546)
250234373,08/26/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),25-44,M,WHITE HISPANIC,0,BROOKLYN,83,1008691,192538,40.69511531,-73.91186114,POINT (-73.91186114 40.69511531)
253469022,11/01/2022,DISCON: CREATE HAZARDOUS CONDITION,240.20-7,Penal Law,DISORDERLY CONDUCT,25-44,F,WHITE HISPANIC,0,MANHATTAN,7,987522,202349,40.722079,-73.988194,POINT (-73.988194 40.722079)
250552398,09/03/2022,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BRONX,40,1010256,233464,40.807444,-73.906058,POINT (-73.906058 40.807444)
273668784,08/30/2023,RECKLESS DRIVING,1212,VTL,VTL,25-44,M,BLACK,0,BROOKLYN,70,995793,173152,40.64193129934,-73.95840695096,POINT (-73.95840695095727 40.64193129934124)
243663645,04/14/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),45-64,M,BLACK,2,BRONX,42,1010158,242490,40.832218,-73.906377,POINT (-73.906377 40.832218)
288612928,06/16/2024,CONGREGATES WITH OTHER PERSONS IN PUBLIC AND REFUSES TO DISPERSE BY LAWFUL POLIC,240.20(6),(null),(null),<18,M,BLACK,0,BRONX,44,1008782,244577,40.83794853423,-73.91134305376,POINT (-73.91134305375584 40.83794853423286)
295445105,10/21/2024,CONSUMPTION OF ALCOHOL IN VEHICLE,1227,VTL,VTL,18-24,M,BLACK,0,QUEENS,115,1019651,215077,40.75694226765,-73.87221880603,POINT (-73.87221880602925 40.75694226765252)
287969638,06/04/2024,SOUND DEVICE; NON-COMMERCIAL WITHOUT PERMIT,10-108(D),(null),(null),45-64,M,BLACK,0,MANHATTAN,32,1000787,238042,40.820031,-73.94025,POINT (-73.94025 40.820031)
291627968,08/13/2024,OTHER PENAL LAW,9999,Penal Law,OTHER PENAL LAW,25-44,M,BLACK,0,QUEENS,103,1039179,195085,40.70196950383,-73.80189517605,POINT (-73.80189517604903 40.7019695038348)
252608823,10/15/2022,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE HISPANIC,0,BROOKLYN,66,991499,170547,40.634786,-73.97388,POINT (-73.97388 40.634786)
270027614,06/18/2023,UNLICENSED VENDOR,17-307(A),(null),(null),25-44,M,BLACK,0,MANHATTAN,14,988063,215081,40.757025,-73.986236,POINT (-73.986236 40.757025)
266740670,04/16/2023,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),18-24,M,WHITE,0,BROOKLYN,90,999248,195557,40.7034228,-73.94590765,POINT (-73.94590765 40.7034228)
265630662,03/23/2023,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,MANHATTAN,18,989997,214605,40.755718,-73.979254,POINT (-73.979254 40.755718)
294350529,10/04/2024,UNLICENSED OPERATOR,509,VTL,VTL,45-64,M,BLACK HISPANIC,0,MANHATTAN,33,1000898,244832,40.83866681686,-73.93983463881,POINT (-73.93983463880988 40.83866681685985)
294035568,09/28/2024,ACCEPT ON HAIL,19-507,Administrative Code,TLC,45-64,M,BLACK,0,QUEENS,103,1037520,194797,40.70118915575,-73.80788072038,POINT (-73.80788072037542 40.70118915575413)
285634049,04/19/2024,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,BLACK,0,BROOKLYN,90,1000838,196032,40.704725,-73.940171,POINT (-73.940171 40.704725)
248384568,07/22/2022,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,(null),(null),0,BROOKLYN,72,982383,177997,40.655237,-74.006726,POINT (-74.006726 40.655237)
260567194,12/27/2022,UNLAWFUL POSSESSION OF CANNABIS,222.25,(null),(null),25-44,M,BLACK,0,QUEENS,113,1046315,187088,40.67998073847,-73.7762339072,POINT (-73.7762339071953 40.6799807384666)
266775475,04/16/2023,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,45-64,M,BLACK,0,STATEN ISLAND,120,951999,168438,40.62894118,-74.11618787,POINT (-74.11618787 40.62894118)
244900926,05/11/2022,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),(null),(null),45-64,M,BLACK,0,BROOKLYN,71,997909,180450,40.661961,-73.950767,POINT (-73.950767 40.661961)
283895181,03/17/2024,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,25-44,M,BLACK,2,BROOKLYN,75,1012850,182781,40.668324,-73.896902,POINT (-73.896902 40.668324)
